id,text,correct_answer
1,Какой из следующих объёмов информации наименьший?,C
2,Какое двоичное число соответствует десятичному числу 13?,B
3,Какое минимальное количество бит нужно для представления 60 различных значений?,D
4,Что будет результатом выполнения логического выражения: (1 ИЛИ 0) И НЕ(1)?,C
5,В каком ряду приведены только устройства ввода информации?,A
6,Какое из приведённых чисел является шестнадцатеричным?,B
7,Что из этого относится к побайтовому представлению информации?,C
8,Что такое IP-адрес?,B
9,Какой результат работы алгоритма: x = 5; x = x + 2; x = x * 3; print(x)?,C
10,"Какая логическая операция возвращает 1 только в случае, если её операнды разные?",C
11,Какой код символа 'А' в таблице ASCII?,C
12,Какой вид графика лучше всего подойдёт для отображения изменения температуры в течение суток?,A
13,В каком из вариантов представлено верное логическое тождество?,C
14,Какая операция записывается как '+' в логике?,C
15,Сколько байт в 2 КБ?,B
16,"В каком из файлов, скорее всего, содержится текстовая информация?",A
17,Какая система счисления используется в компьютере по умолчанию?,D
18,Что из этого — логическая переменная?,B
19,Сколько значений может принимать переменная типа bool?,B
20,Какой алгоритм эффективнее при поиске в отсортированном списке?,C
21,Какая логическая операция инвертирует значение?,C
22,В какой строке указаны только типы данных?,B
23,Какой из алгоритмов сортировки самый простой по реализации?,B
24,Какой IP-адрес может использоваться в локальной сети?,A
25,Какой формат чаще всего используется для хранения растровых изображений?,B
26,Что делает цикл for i in range(5): print(i) в Python?,C
27,Какое число идёт после 111 в двоичной системе?,C
28,Что из перечисленного является единицей измерения информации?,B
29,Какой десятичной системе соответствует двоичное число 1011?,C
30,Сколько различных значений можно закодировать 4 битами?,C
31,Что будет результатом выражения: НЕ(1 ИЛИ 0)?,A
32,Что относится к устройствам вывода?,B
33,Какое из чисел является числом в восьмеричной системе?,C
34,Что представляет собой Unicode?,B
35,Что такое MAC-адрес?,A
36,Какой будет результат: x = 2; x = x * x; x = x + 3; print(x),D
37,Какая логическая операция обозначается как ∧?,B
38,Какой код имеет символ 'а' в ASCII?,C
39,Что лучше всего подойдёт для показа структуры компании?,B
40,Какое из утверждений верно?,A
41,Какой оператор в логике обозначает отрицание?,D
42,Сколько байт в 5 КБ?,B
43,Какой формат файла чаще используется для работы с электронными таблицами?,C
44,Какая из систем счисления позиционная?,C
45,Что означает значение True?,A
46,Сколько логических операций существует с двумя переменными?,C
47,Какой алгоритм поиска требует отсортированного списка?,C
48,Какая операция называется дизъюнкцией?,B
49,В каком ряду указаны логические значения?,D
50,Какой алгоритм сортировки работает методом выбора минимального элемента?,C
51,Какой из IP-адресов является корректным?,D
52,Какой формат подходит для хранения векторной графики?,A
53,Что делает цикл while x < 5: x += 1?,A
54,Что идёт после 1111 в двоичной системе?,D
55,Что такое алгоритм?,D
56,Какая единица измерения скорости передачи данных?,C
57,Сколько байт занимает символ в кодировке ASCII?,B
58,Какой логический результат выражения: НЕ(0 И 1)?,B
59,Какой из приведённых — язык программирования?,D
60,Какой формат используется для видеофайлов?,D
61,Что обозначает сокращение HTML?,A
62,Для чего служит операционная система?,D
63,Какой будет результат: a = 10; a //= 3; print(a),B
64,Что делает команда print() в Python?,B
65,Как называется минимальная единица графического изображения на экране?,C
66,Какая программа нужна для доступа к сайтам?,B
67,Какая логическая операция обратна операции НЕ?,B
68,Что из перечисленного — устройство хранения данных?,C
69,Что делает условный оператор в программе?,B
70,"Какой файл, скорее всего, содержит музыку?",A
71,Какое расширение имеет исполняемый файл в Windows?,D
72,Что такое переменная в программе?,A
73,Какая система счисления содержит цифры от 0 до 7?,D
74,Сколько бит в одном байте?,C
75,Какое устройство используется для вывода звука?,C
76,Что означает аббревиатура URL?,C
77,Где временно хранятся данные при работе программы?,B
78,Что делает функция input() в Python?,C
79,Что такое файл?,B
80,Какая команда используется для создания цикла в Python?,D
81,Что произойдёт при делении на ноль в программе?,D
82,Какой тип данных используется для хранения целых чисел в Python?,D
83,Какой из перечисленных является логическим оператором?,D
84,Что хранится в переменной: name = 'Аня'?,D
85,Какой результат у выражения: 2 ** 3?,C
86,Что делает оператор % в Python?,C
87,Какой тип данных подходит для хранения числа с запятой?,A
88,Какой символ используется для однострочного комментария в Python?,C
89,Какой из операторов сравнения используется в Python?,A
90,Что делает команда len()?,D
91,Что из этого — стандартный тип цикла?,B
92,Какой результат у выражения: True and False?,C
93,Что такое список (list) в Python?,A
94,Какой оператор используется для объединения строк?,D
95,Что будет результатом: '5' + '3'?,D
96,Что означает метод append() у списка?,B
97,Какой результат у выражения: not(True)?,D
98,Что означает оператор != ?,C
99,Какой метод удаляет элемент из списка по значению?,B
100,Что делает метод split()?,D
101,Что вернёт выражение type(3.14)?,A
102,Что произойдёт при выполнении цикла: for i in range(0): print(i)?,D
103,Что такое булев тип данных?,D
104,Какое ключевое слово используется для начала функции?,B
105,Как обозначается тело условия в Python?,D
106,Что делает функция range(3)?,B
107,Какой из перечисленных является типом коллекции в Python?,A
108,Что делает метод pop() без аргумента?,D